ORDERNUMBER,ORDERDATE,STATUS,DAYS_SINCE_LASTORDER,DEALSIZE,CUSTOMER_ID
10107,2018-02-24,Shipped,828,Small,1001
10121,2018-05-07,Shipped,757,Small,1002
10134,2018-07-01,Shipped,703,Medium,1003
10145,2018-08-25,Shipped,649,Medium,1004
10168,2018-10-28,Shipped,586,Medium,1005
10180,2018-11-11,Shipped,573,Small,1006
10188,2018-11-18,Shipped,567,Medium,1007
10211,2019-01-15,Shipped,510,Medium,1008
10223,2019-02-20,Shipped,475,Medium,1009
10237,2019-04-05,Shipped,432,Small,1010
10251,2019-05-18,Shipped,390,Medium,1011
10263,2019-06-28,Shipped,350,Medium,1012
10275,2019-07-23,Shipped,326,Medium,1013
10285,2019-08-27,Shipped,292,Medium,1014
10299,2019-09-30,Shipped,259,Small,1015
10309,2019-10-15,Shipped,245,Medium,1016
10318,2019-11-02,Shipped,228,Medium,1017
10329,2019-11-15,Shipped,216,Medium,1018
10341,2019-11-24,Shipped,208,Large,1019
10361,2019-12-17,Shipped,186,Small,1020
10375,2020-02-03,Shipped,139,Small,1021
10388,2020-03-03,Shipped,111,Medium,1022
10403,2020-04-08,Shipped,76,Small,1023
10417,2020-05-13,Disputed,42,Large,1024
10103,2018-01-29,Shipped,878,Medium,1025
10112,2018-03-24,Shipped,825,Large,1026
10126,2018-05-28,Shipped,761,Large,1027
10140,2018-07-24,Shipped,705,Large,1028
10150,2018-09-19,Shipped,649,Large,1029
10163,2018-10-20,Shipped,619,Medium,1030
10174,2018-11-06,Shipped,603,Large,1031
10183,2018-11-13,Shipped,597,Medium,1032
10194,2018-11-25,Shipped,586,Large,1033
10206,2018-12-05,Shipped,577,Large,1034
10215,2019-01-29,Shipped,523,Medium,1035
10228,2019-03-10,Shipped,484,Medium,1036
10245,2019-05-04,Shipped,430,Medium,1037
10258,2019-06-15,Shipped,389,Large,1038
10270,2019-07-19,Shipped,356,Medium,1039
10280,2019-08-17,Shipped,328,Large,1040
10291,2019-09-08,Shipped,307,Large,1041
10304,2019-10-11,Shipped,275,Large,1042
10312,2019-10-21,Shipped,266,Large,1043
10322,2019-11-04,Shipped,253,Medium,1044
10347,2019-11-29,Shipped,229,Medium,1045
10357,2019-12-10,Shipped,219,Medium,1046
10369,2020-01-20,Shipped,179,Medium,1047
10391,2020-03-09,Shipped,131,Small,1048
10411,2020-05-01,Shipped,79,Medium,1049
10424,2020-05-31,In Process,50,Large,1050
10107,2018-02-24,Shipped,878,Medium,1051
10120,2018-04-29,Shipped,815,Small,1052
10134,2018-07-01,Shipped,753,Medium,1053
10145,2018-08-25,Shipped,699,Medium,1054
10168,2018-10-28,Shipped,636,Medium,1055
10180,2018-11-11,Shipped,623,Medium,1056
10188,2018-11-18,Shipped,617,Medium,1057
10210,2019-01-12,Shipped,563,Medium,1058
10223,2019-02-20,Shipped,525,Medium,1059
10236,2019-04-03,Shipped,484,Small,1060
10251,2019-05-18,Shipped,440,Medium,1061
10263,2019-06-28,Shipped,400,Medium,1062
10275,2019-07-23,Shipped,376,Small,1063
10285,2019-08-27,Shipped,342,Medium,1064
10298,2019-09-27,Shipped,312,Medium,1065
